drugpubchemblsubstance;pubchemblsubstance_detail
1826;46507527
1827;46508985
1828;46506221
1829;46507434
1830;46506936
1831;46504542
1832;46506953
1833;46506493
1834;46505554
1835;46506574
1836;46508901
1837;46505623
1838;46506806
1839;46507409
1840;46505788
1841;46507300
1842;46508097
1843;46505836
1844;46508157
1845;46504626
1846;46505331
1847;46505495
1848;46507586
1849;46508090
1850;46508155
1851;46504891
1852;46507391
1853;46508793
1854;46504762
1855;46507063
1856;46506759
1857;46506868
1858;46505054
1859;46506494
1860;46508502
1861;46506280
1862;46504838
1863;46504824
1864;46506862
1865;46508307
1866;46505706
1867;46507249
1868;46508590
1869;46507924
1870;46507992
1871;46508565
1872;46507329
1873;46507386
1874;46505364
1875;46505769
1876;46504705
1877;46508900
1878;46504981
1879;46507236
1880;46505605
1881;46507684
1882;46507973
1883;46508481
1884;46504835
1885;46504445
1886;46506266
1887;46505170
1888;46504817
1889;46504645
1890;46506518
1891;46505031
1892;46505449
1893;46505244
1894;46504721
1895;46505714
1896;46508171
1897;46507015
1898;46506083
1899;46505119
1900;46506215
1901;46505689
1902;46504702
1903;46505905
1904;46507621
1905;46507800
1906;46505635
1907;46506208
1908;46504779
1909;46505492
1910;46506134
1911;46504580
1912;46508942
1913;46504870
1914;46509175
1915;46506419
1916;46507288
1917;46507801
1918;46506718
1919;46506515
1920;46507972
1921;46505894
1922;46505837
1923;46505978
1924;46506603
1925;46509114
1926;46505263
1927;46506600
1928;46505535
1929;46506663
1930;46507455
1931;46507957
1932;46507849
1933;46504664
1934;46504522
1935;46507047
1936;46507897
1937;46508624
1938;46504846
1939;46507802
1940;46504530
1941;46509084
1942;46504861
1943;46508696
1944;46508931
1945;46505789
1946;46508138
1947;46505755
1948;46504839
1949;46507911
1950;46507264
1951;46505099
1952;46505293
1953;46506773
1954;46506876
1955;46505185
1956;46504738
1957;46507600
1958;46504507
1959;46507913
1960;46509163
1961;46508382
1962;46507753
1963;46507445
1964;46509087
1965;46508611
1966;46508860
1967;46508293
1968;46506460
1969;46505884
1970;46507400
1971;46505601
1972;46504706
1973;46506202
1974;46506828
1975;46508242
1976;46505266
1977;46508781
1978;46504888
1979;46506632
1980;46504715
1981;46506162
1982;46505269
1983;46507994
1984;46507197
1985;46508628
1986;46507118
1987;46507732
1988;46506892
1989;46507618
1990;46506526
1991;46504907
1992;46505604
1993;46506084
1994;46506921
1995;46506233
1996;46508838
1997;46505430
1998;46506721
1999;46506165
2000;46505703
2001;46506706
2002;46509138
2003;46504913
2004;46505805
2005;46504805
2006;46505712
2007;46507852
2008;46507797
2009;46504557
2010;46509176
2011;46507068
2012;46507947
2013;46505446
2014;46507712
2015;46508909
2016;46505539
2017;46509075
2018;46504962
2019;46507327
2020;46508500
2021;46505937
2022;46507883
2023;46505629
2024;46507316
2025;46505382
2026;46508394
2027;46508086
2028;46505943
2029;46508071
2030;46506222
2031;46505993
2032;46506310
2033;46506107
2034;46507230
2035;46508154
2036;46508495
2037;46507429
2038;46507700
2039;46505379
2040;46504710
2041;46504863
2042;46509004
2043;46506062
2044;46507183
2045;46507113
2046;46506407
2047;46507790
2048;46507435
2049;46506303
2050;46506463
2051;46505344
2052;46505140
2053;46508841
2054;46506294
2055;46505962
2056;46507780
2057;46508188
2058;46504692
2059;46508871
2060;46506627
2061;46508948
2062;46509158
2063;46509166
2064;46505259
2065;46508186
2066;46504926
2067;46504943
2068;46506886
2069;46505091
2070;46507104
2071;46507268
2072;46505454
2073;46504479
2074;46508297
2075;46509006
2076;46505634
2077;46504640
2078;46505198
2079;46507739
2080;46505390
2081;46508177
2082;46508764
2083;46505983
2084;46507671
2085;46505875
2086;46505887
2087;46508671
2088;46506974
2089;46504844
2090;46504484
2091;46506340
2092;46508387
2093;46506556
2094;46508048
2095;46504457
2096;46507328
2097;46505734
2098;46506099
2099;46508543
2100;46508108
2101;46504476
2102;46504970
2103;46505029
2104;46507005
2105;46505669
2106;46508324
2107;46506148
2108;46507941
2109;46506416
2110;46508405
2111;46507424
2112;46506815
2113;46505189
2114;46507308
2115;46508255
2116;46508369
